experiment,fit_mean,fit_max
1,0.8267761173398479,1.7780453652307708
2,0.8598736151340759,2.2676524671374207
3,0.890875201008502,1.6729102553200903
4,0.8370895426916783,1.308373513937986
5,0.8223518197048431,1.6191418856909388
6,0.85511703925015,1.6108346611154927
7,0.806983088561846,1.4085634642303941
8,0.9877716797780891,1.6709850666682504
9,0.8203203659389596,1.7070559076187903
10,0.9547206576435298,1.5136196345510076
