warm_short,cold_short,warm_long,cold_long
0.5284408851417749,0.5363346241553234,0.3877800582107537,0.38157157385841595
0.4214757671373008,0.5271862503467413,0.2860810250496666,0.3817768922996811
0.4096535520944144,0.4777935448692138,0.281118482169699,0.33778160128619933
0.438206047793852,0.617116115156273,0.3095119729343558,0.48339099579304273
0.37521565450460653,0.5750234635769373,0.2519867273540398,0.4730122019459546
0.4256704951672182,0.5080932268017552,0.33656746301443347,0.35136565079809207
0.5028669981109192,0.5953135600655468,0.3806652450244327,0.39599948179610456
0.5497777045252713,0.5860884650435969,0.3835919818030878,0.41971741436769927
0.36838562571308936,0.52022836085346,0.22529719571750953,0.35993820121971304
0.4151255267817572,0.5462719554237744,0.2386888121940839,0.4108467111774486
